Food,Protein,TotalFat,SaturatedFat,Cholesterol,Iron,Sodium,Potassium,Magnesium,Phosphorus,VitaminA,VitaminD,VitaminB12,VitaminE,Riboflavin,Calcium,Thiamin,VitaminC,,,,
,g,g,g,mg,mg,mg,mg,mg,mg,RAE,µg,µg,mg,mg,mg,mg,mg,,,,
"Blade roast, lean + fat, braised",26,10,4,71,2.5,46,202,18,142,0,0.5,2.38,0.1,,,,,,,,
"Blade steak, lean + fat, braised",23,14,5.7,71,2.4,49,178,17,138,0,0.5,2,0.2,,,,,,,,
"Composite, roast, lean + fat, cooked",24,8,3.5,61,2.3,40,230,19,155,0,0.5,1.89,0.1, ,,,,,,,
"Composite, steak, lean + fat, cooked",25,9,3.9,64,2.4,40,200,18,148,0,0.5,1.78,0.1,,,,,,,,
"Cross rib roast, lean + fat, braised",27,9,3.6,70,2.6,52,242,21,164,0,0.5,1.89,0.6,,,,,,,,
"Eye of round roast, lean + fat, roasted",24,5,2.1,50,1.5,40,243,19,152,0,0.5,1.44,0.2,,,,,,,,
"Eye of round steak, lean + fat, braised",28,5,2.2,61,1.8,35,243,19,152,0,0.5,1.38,0.2,,,,,,,,
"Flank steak, lean + fat, braised",25,8,3.6,54,2.2,45,243,19,152,0,0.5,2.15,0.3,,,,,,,,
"Ground, extra lean, crumbled, pan-fried",23,8,3.2,59,2.1,65,311,22,180,0,0.3,2.06,,,,,,,,,
"Ground, lean, crumbled, pan-fried",22,11,4.5,59,2.1,70,293,21,174,0,0.5,2.16,,,,,,,,,
"Ground, medium, crumbled, pan-fried",22,13,5.6,61,2,68,303,21,173,0,0.6,1.88,,,,,,,,,
"Ground, regular, crumbled, pan-fried",22,17,7,63,2.2,78,301,21,178,0,0.8,2.72,,,,,,,,,
"Inside (top) round roast, lean + fat, roasted",24,3,1.4,53,2.1,48,253,20,163,0,0.5,1.68,0.1,,,,,,,,
"Inside (top) round steak, lean + fat, braised",30,5,2.1,68,2.4,38,204,20,157,0,0.5,1.43,0.4,,,,,,,,
"Outside (bottom) round roast, lean + fat, roasted",25,5,2.1,58,2.9,42,243,19,152,0,0.5,1.67,0.2,,,,,,,,
"Outside (bottom) round steak, lean + fat, braised",29,8,3,72,3.1,43,243,19,152,0,0.5,1.41,0.3,,,,,,,,
"Rib eye steak, lean + fat, broiled",20,16,6.7,53,2.4,40,243,19,152,0,0.5,1.54,0.8,,,,,,,,
"Rib steak, lean + fat, broiled",23,15,6.4,58,1.9,56,243,19,152,0,0.5,1.8,0.5,,,,,,,,
"Rump roast, lean + fat, broiled",21,8,3.2,59,1.9,47,296,20,180,0,0.3,2.27,,,,,,,,,
